# Program:featureCounts v2.0.3; Command:"featureCounts" "-s" "2" "-a" "./genome/chr1-hg19_genes.gtf" "-o" "./results/RNA_seq_featurecounts.txt" "./results/Irrel_kd_1_Aligned.sortedByCoord.out.bam" "./results/Irrel_kd_2_Aligned.sortedByCoord.out.bam" "./results/Irrel_kd_3_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_1_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_2_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_3_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./results/Irrel_kd_1_Aligned.sortedByCoord.out.bam	./results/Irrel_kd_2_Aligned.sortedByCoord.out.bam	./results/Irrel_kd_3_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_1_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_2_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_3_Aligned.sortedByCoord.out.bam
WASH7P	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	14362;14970;15796;16607;16858;17233;17606;17915;18268;24738;29321	14829;15038;15947;16765;17055;17368;17742;18061;18366;24891;29370	-;-;-;-;-;-;-;-;-;-;-	1769	3	1	2	2	0	0
FAM138F	chr1;chr1;chr1	34611;35277;35721	35174;35481;36081	-;-;-	1130	0	0	0	0	0	0
FAM138A	chr1;chr1;chr1	34611;35277;35721	35174;35481;36081	-;-;-	1130	0	0	0	0	0	0
OR4F5	chr1	69091	70008	+	918	0	0	0	0	0	0
LOC729737	chr1;chr1;chr1;chr1;chr1	136698;136806;136953;139790;140075	136756;136854;139696;139847;140566	-;-;-;-;-	3402	0	0	1	1	1	0
LOC100132287	chr1;chr1;chr1	323892;324288;324439	324060;324345;328581	+;+;+	4370	0	0	0	0	0	0
LOC100132062	chr1;chr1;chr1	323892;324288;324439	324060;324345;328581	+;+;+	4370	0	0	0	0	0	0
LOC100133331	chr1;chr1;chr1;chr1;chr1;chr1;chr1	323892;324288;324439;327036;661139;665278;665563	324060;324345;326938;328581;665184;665335;665731	+;+;+;+;-;-;-	8546	1	0	0	0	0	1
OR4F16	chr1;chr1	367659;621096	368597;622034	+;-	1878	0	0	0	0	0	0
OR4F29	chr1;chr1	367659;621096	368597;622034	+;-	1878	0	0	0	0	0	0
OR4F3	chr1;chr1	367659;621096	368597;622034	+;-	1878	0	0	0	0	0	0
LOC100288069	chr1;chr1;chr1;chr1;chr1;chr1;chr1	700245;701709;703928;704877;708356;709551;713664	700627;701767;703993;705092;708487;709660;714068	-;-;-;-;-;-;-	1371	1	0	1	2	0	0
NCRNA00115	chr1	761586	762902	-	1317	0	0	0	0	0	0
LOC643837	chr1;chr1;chr1;chr1;chr1;chr1;chr1	763064;764383;783034;787307;788051;788771;788957	763155;764484;783186;787490;788146;788902;789740	+;+;+;+;+;+;+	1543	1	0	0	0	0	0
FAM41C	chr1;chr1;chr1	803451;809492;812126	804055;810535;812182	-;-;-	1706	0	0	0	0	0	0
LOC100130417	chr1;chr1;chr1;chr1	852953;853402;854205;854715	853100;853555;854295;854817	-;-;-;-	496	0	0	0	0	0	0
SAMD11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	861121;861302;865535;866419;871152;874420;874655;876524;877516;877790;877939;878633;879078;879288	861180;861393;865716;866469;871276;874509;874840;876686;877631;877868;878438;878757;879188;879961	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2554	1	1	0	0	0	0
NOC2L	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	879583;880437;880898;881553;881782;883511;883870;886507;887380;887792;888555;889162;889384;891303;891475;892274;892479;894309;894595	880180;880526;881033;881666;881925;883612;883983;886618;887519;887980;888668;889272;889462;891393;891595;892405;892653;894461;894679	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2800	0	3	1	0	2	2
KLHL17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	895967;896673;897009;897206;897735;898084;898489;898717;899300;899487;899729;900343	896180;896932;897130;897427;897851;898297;898633;898884;899388;899560;899910;901099	+;+;+;+;+;+;+;+;+;+;+;+	2564	1	0	0	0	0	0
PLEKHN1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	901877;901877;902084;902084;905657;905657;905901;905901;906066;906066;906259;906259;906457;906493;906704;906704;907455;907455;907668;907668;908241;908241;908566;908880;908880;909213;909213;909696;909696;909822;909822	901994;901994;902183;902183;905803;905803;905981;905981;906138;906138;906386;906386;906588;906588;906784;906784;907530;907530;907804;907804;908390;908390;908706;909020;909020;909431;909431;909744;909744;910484;910484	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2436	0	0	0	0	1	0
C1orf170	chr1;chr1;chr1;chr1;chr1	910579;911879;914261;916517;917445	911649;912004;916037;916553;917473	-;-;-;-;-	3040	0	0	0	0	0	0
